Sr. No.,Gender,Region,Annual Family Income,District,Taluka,Category,SSC Math Percentage,SSC Total Percentage,HSC Physics Percentage,HSC Chemistry Percentage,HSC Math Percentage,HSC Subject Percentage,HSC English Percentage,HSC Total Percentage,CET Percentile,JEE Percentile,Merit No,Merit Marks,Admitted
312,Male,Urban,"15,001 - 50,000",Akola,Yavatmal,DT/VJ,74,73.2,63,67,80,80,63,71.69,55.5758493,,59200,55.5758493,1
313,Male,Rural,"50,001 - 1,00,000",Amravati,Seloo,OBC,74,81.8,91,94,90,90,90,90.83,50.6109392,68.8217853,20555,68.8217853,1
314,Male,Rural,"50,001 - 1,00,000",Amravati,Dhamangaon Railway,OBC,91,79.6,20,23,21,32,81,20,0.955531482,,170488,0.967880507,0
315,Female,Rural,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),74,71.6,21,23,27,24,82,26,0.741827886,48.6096116,455950,0.881874636,0
316,Female,Urban,"15,001 - 50,000",Amravati,Warud,DT/VJ,81,82.4,84,88,86,86,88,86.5,41.1916183,,72644,41.1916183,1
317,Female,Rural,"50,001 - 1,00,000",Amravati,Darwha,OBC,94,89,22,20,29,33,90,28,0.990592251,25.3721987,378799,0.475595874,0
318,Male,Rural,"15,001 - 50,000",Amravati,Amravati,DT/VJ,85,76.4,71,75,81,76,82,78.17,10.7619592,,94823,10.7619592,1
319,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,SC,85,87.6,95,91,94,96,92,93.33,64.0315795,,50109,64.0315795,1
320,Male,Rural,"15,001 - 50,000",Amravati,Ashti,OBC,55,52.2,27,22,26,20,74,29,0.234561125,,442556,0.354058649,0
321,Male,Rural,"15,001 - 50,000",Washim,Ghansawangi,SBC,74,63.2,29,23,21,22,83,26,0.63000414,,505439,0.691647399,0
322,Male,Urban,"15,001 - 50,000",Yavatmal,Amravati,OBC,61,68.2,82,85,86,86.5,76,83.67,66.1416397,,4,66.1416397,1
323,Female,Urban,"9,00,001 - 10,00,000",Akola,Amravati,OBC,93,84.8,88,87,94,93,85,88.17,54.0906775,30.738747,60728,54.0906775,1
324,Female,Rural,"50,001 - 1,00,000",Amravati,Amravati,NT 1 (NT-B),74,71.6,87,84,83,81,82,82.67,51.1462048,48.6096116,64210,51.1462048,1
325,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,65,77,22,25,27,26,76,31,0.993070476,3.5164188,310499,0.814929564,0
326,Female,Urban,"1,00,001 - 1,50,000",Amravati,Amravati,OBC,85,82.2,83,81,81,91,81,84.67,69.6680476,,43743,69.6680476,1
327,Female,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,94,80.4,22,28,22,28,82,25,0.067434686,,580027,0.597027514,0
328,Female,Urban,"50,001 - 1,00,000",Yavatmal,Darwha,OBC,100,91.6,22,32,20,32,93,22,0.53216138,54.2524464,301506,0.367881483,0
329,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,92,80.6,29,28,26,20,85,20,0.438973241,0.9365336,393359,0.793166071,0
330,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,81,82.6,84,87,81,90.5,78,85.17,24.3861135,61.0981804,27378,61.0981804,1
331,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,56,61.8,23,24,21,22,67,22,0.674918869,49.07718,214604,0.745099967,0
332,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,88,86,33,29,26,30,92,24,0.38166718,73.7119185,382898,0.644817201,0
333,Male,Urban,"15,001 - 50,000",Yavatmal,Ner,OBC,64,67.2,29,25,32,22,81,24,0.389350165,,157564,0.324110369,0
334,Female,Rural,"15,001 - 50,000",Amravati,Teosa,SC,60,52.8,66,61,62,67,68,64.67,8.4069679,,87,8.4069679,1
335,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,88,84.2,27,30,27,33,77,33,0.289351843,,301050,0.055433414,0
336,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,79,84.8,78,82,83,85,85,83.33,63.7162333,23.3553053,50638,63.7162333,1
337,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,54,62.6,79,88,89,88,61,81.33,47.6037257,,67493,47.6037257,1
338,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,61,58.4,82,79,73,91,74,81.67,30.1146048,,82250,30.1146048,1
339,Male,Urban,"1,00,001 - 1,50,000",Yavatmal,Wani,OBC,71,74.4,82,82,82,85,74,81.67,74.6585417,16.8738015,37078,74.6585417,1
340,Female,Rural,"15,001 - 50,000",Akola,Telhara,OBC,92,77.8,20,22,24,31,82,24,0.147735661,,466633,0.232760002,0
341,Male,Rural,"50,001 - 1,00,000",Wardha,Wardha,SC,44,55.2,82,85,83,90,79,84.83,38.588067,37.1023184,21,38.588067,1
342,Female,Rural,"50,001 - 1,00,000",Amravati,Chandur Railway,OBC,93,85.2,93,93,90,91,91,91.5,52.0169076,,62698,52.0169076,1
343,Female,Urban,"15,001 - 50,000",Amravati,Amravati,OBC,78,83.4,88,87,82,89,83,85.83,67.9011717,19.5794333,45846,67.9011717,1
344,Male,Urban,"2,00,001 -2,50,000",Buldhana,Nandura,Open,39,67.2,21,20,29,28,94,31,0.161701693,,268051,0.335639151,0
345,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,89,80.8,76,82,80,81,82,80.83,49.5849968,61.4492976,27121,61.4492976,1
346,Male,Urban,"3,50,001 - 4,00,000",Amravati,Amravati,OBC,77,79,90,87,81,90,82,86.67,67.7556744,,46570,67.7556744,1
347,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,84,70,81,73,78,92,83,83.17,47.6037257,,12,47.6037257,1
348,Male,Urban,"4,00,001 - 4,50,000",Amravati,Amravati,OBC,82,68,87,82,88,86.5,80,85,61.3942986,34.4180463,53338,61.3942986,1
349,Male,Rural,"50,001 - 1,00,000",Amravati,Chandurbazar,OBC,35,36.5,30,30,28,29,71,31,0.152831262,,306954,0.567613976,0
350,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,67,64.8,85,83,80,84,82,82.67,61.5287969,,52956,61.5287969,1
351,Female,Urban,"50,001 - 1,00,000",Akola,Akola,Open,82,83,85,85,87,0,92,86.83,65.3394562,,88,65.3394562,1
352,Male,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,NT 2 (NT-C),44,61.6,26,33,23,28,44,29,0.576609362,,439890,0.578665114,0
353,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SC,48,66.2,30,29,27,29,86,22,0.11707247,,451431,0.129776703,0
354,Male,Rural,"5,00,001 - 5,50,000",Buldhana,Malkapur,SC,81,88.8,23,24,30,28,92,32,0.525121427,,475962,0.163010923,0
355,Female,Rural,"50,001 - 1,00,000",Amravati,Anjangaon Surji,NT 2 (NT-C),87,79.4,81,78,66,76,78,77.67,27.003282,,83985,27.003282,1
356,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,69,75.8,32,21,32,25,80,23,0.155505905,,466091,0.801497287,0
357,Male,Urban,"15,001 - 50,000",Amravati,Dhamangaon Railway,OBC,80,70.8,23,21,22,33,76,21,0.089890074,,428693,0.630597976,0
358,Male,Rural,"15,001 - 50,000",Amravati,Amravati,SC,50,68.4,22,33,24,27,74,24,0.777845139,39.7382306,438329,0.141619597,0
359,Male,Rural,"15,001 - 50,000",Amravati,Chandurbazar,Open,90,83.4,23,29,31,23,92,32,0.470591556,,508727,0.66236395,0
360,Female,Rural,"50,001 - 1,00,000",Akola,Akot,OBC,94,88,93,93,95,100,88,94.83,67.8408129,12.2738126,46261,67.8408129,1
361,Male,Rural,"50,001 - 1,00,000",Amravati,Warud,OBC,84,80,39,43,40,74,40,49.08,26.8123667,,30,26.8123667,1
362,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,54,73.8,91,86,81,90,84,87,21.1515665,,88137,21.1515665,1
363,Male,Urban,"50,001 - 1,00,000",Akola,Akot,SC,84,77.4,21,29,27,30,71,23,0.572500483,,178015,0.654115149,0
364,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,95,87.4,86,89,92,95,85,90.33,81.9881488,,27442,81.9881488,1
365,Male,Rural,"50,001 - 1,00,000",Nagpur,Kamptee,OBC,71,74,33,25,24,27,86,27,0.250843616,,567037,0.081542654,0
366,Female,Urban,"9,00,001 - 10,00,000",Amravati,Amravati,OBC,93,84.8,27,32,32,24,85,33,0.266241575,30.738747,598533,0.489449396,0
367,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,95,79.6,90,89,85,92,80,87.83,56.8008151,,57751,56.8008151,1
368,Male,Urban,"50,001 - 1,00,000",Amravati,Morshi,OBC,59,77.8,26,33,25,23,87,32,0.528767989,51.4829007,594040,0.686075684,0
369,Female,Urban,"15,001 - 50,000",Amravati,Amravati,SBC,40,62.6,74,81,79,89,68,80,63.9429445,4.9882333,5,63.9429445,1
370,Female,Urban,"15,001 - 50,000",Akola,Murtijapur,OBC,59,47.2,33,24,21,26,68,22,0.211085534,,467555,0.294171896,0
371,Male,Urban,"15,001 - 50,000",Amravati,Amravati,Open,79,66.6,20,26,22,27,79,31,0.391698694,,194803,0.589645253,0
372,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,73,61.6,81,82,74,90.5,75,82.17,26.6971381,16.2745623,84769,26.6971381,1
373,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,69,75.8,83,82,80,73,80,80.33,71.0624183,,41741,71.0624183,1
374,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,84,70,23,26,23,28,83,27,0.460713074,,356747,0.904321913,0
375,Male,Urban,"15,001 - 50,000",Yavatmal,Digras,OBC,95,82.6,94,90,89,86,90,89.5,60.4477612,,54551,60.4477612,1
376,Male,Rural,"15,001 - 50,000",Amravati,Warud,OBC,72,79.4,83,83,83,84,86,84.33,61.8916532,16.6926359,52384,61.8916532,1
377,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,Open,93,83.4,85,85,82,86,84,85.5,69.6641264,,44007,69.6641264,1
378,Male,Rural,"6,00,001 - 7,00,000",Amravati,Achalpur,SC,71,63.2,32,23,26,33,69,22,0.507824715,,227414,0.899120071,0
379,Male,Urban,"1,00,001 - 1,50,000",Yavatmal,Wani,OBC,71,74.4,31,32,27,23,74,25,0.726901779,16.8738015,529721,0.310416359,0
380,Male,Urban,"1,50,001 - 2,00,000",Amravati,Amravati,OBC,83,81.4,26,23,23,32,92,33,0.289102052,27.6356103,268804,0.46164185,0
381,Male,Rural,"15,001 - 50,000",Yavatmal,Mahagaon,Open,81,62.2,80,82,78,82,76,79.17,56.6347972,,58194,56.6347972,1
382,Male,Rural,"8,00,001 - 9,00,000",Wardha,Deoli,OBC,69,58.8,78,78,74,84,78,79.33,2.1250511,,99760,2.1250511,1
383,Male,Rural,"15,001 - 50,000",Amravati,Amravati,OBC,83,84.2,84,85,84,88,87,85.83,30.6714243,,80894,30.6714243,1
384,Male,Rural,"50,001 - 1,00,000",Wardha,Deoli,OBC,38,53.4,29,22,22,22,83,30,0.294932662,,107812,0.864022237,0
385,Female,Rural,"15,001 - 50,000",Wardha,Karanja,SC,72,79.4,79,81,81,84,83,82.17,41.1916183,,72666,41.1916183,1
386,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,66,70.2,82,84,79,90,81,84.33,66.1416397,,47699,66.1416397,1
387,Male,Rural,"15,001 - 50,000",Washim,Mangrulpir,SC,95,83.4,20,22,20,25,74,25,0.255320309,31.8667498,495472,0.418427395,0
388,Male,Rural,"15,001 - 50,000",Wardha,Arvi,OBC,90,77,25,26,25,26,82,20,0.462042227,68.3906504,157730,0.182719981,0
389,Male,Rural,"50,001 - 1,00,000",Amravati,Achalpur,OBC,78,77.4,86,86,84,87,82,84.5,5.2266938,,56,5.2266938,1
390,Female,Urban,"15,001 - 50,000",Amravati,Daryapur,Open,80,86.4,89,86,87,89,90,88.5,52.0169076,,62677,52.0169076,1
391,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,92,80.6,85,84,95,82,85,86.67,63.9429445,0.9365336,50298,63.9429445,1
392,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,77,77.2,68,69,75,74,80,73.33,77.7279132,,33140,77.7279132,1
393,Female,Urban,"6,00,001 - 7,00,000",Amravati,Amravati,OBC,67,72,28,27,24,32,73,23,0.118506384,23.9525462,490550,0.312690177,0
394,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,65,68.2,84,83,76,81,81,81.83,8.5417104,31.7673835,50,8.5417104,1
395,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,54,54.4,79,78,75,88,74,80.33,45.1726604,53.1391551,69058,45.1726604,1
396,Male,Rural,"50,001 - 1,00,000",Amravati,Daryapur,OBC,89,78.4,94,93,92,95,92,93.5,61.3942986,44.43054,53410,61.3942986,1
397,Female,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,OBC,90,84.6,93,87,92,89,85,89.67,75.7188332,77.998822,36194,75.7188332,1
398,Female,Rural,"15,001 - 50,000",Wardha,Ashti,NT 1 (NT-B),92,84.8,96,91,96,97,94,94.67,64.0315795,60.3186926,49928,64.0315795,1
399,Female,Urban,"50,001 - 1,00,000",Wardha,Wardha,OBC,85,83.2,88,95,89,92.5,88,90.83,33.8297761,34.7361577,79071,33.8297761,1
400,Male,Rural,"50,001 - 1,00,000",Yavatmal,Darwha,DT/VJ,66,75.2,83,86,77,85,86,84,10.7619592,,94881,10.7619592,1
401,Male,Urban,"7,00,001 - 8,00,000",Amravati,Amravati,OBC,85,79.6,86,86,81,84,81,84.17,33.9863671,50.6096908,35851,50.6096908,1
402,Female,Rural,"50,001 - 1,00,000",Amravati,Daryapur,OBC,57,65.2,87,84,96,84,67,81.23,47.7789098,,11,47.7789098,1
403,Male,Urban,"4,50,001 - 5,00,000",Amravati,Amravati,OBC,73,61.6,33,28,26,28,75,26,0.227161003,16.2745623,200757,0.093468901,0
404,Male,Rural,"15,001 - 50,000",Akola,Akola,SC,72,74.8,30,26,27,24,82,32,0.781719457,,259440,0.425939898,0
405,Male,Urban,"15,001 - 50,000",Akola,Akola,SC,48,50.6,64,64,62,66,67,65.17,66.1416397,,89,66.1416397,1
406,Male,Urban,"15,001 - 50,000",Akola,Murtijapur,OBC,93,82.2,88,84,84,82,85,85.33,61.2512455,50.489379,53968,61.2512455,1
407,Male,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,OBC,93,89.2,89,94,88,90,91,90.33,70.8255491,,42242,70.8255491,1
408,Female,Rural,"15,001 - 50,000",Amravati,Warud,OBC,79,84.8,30,26,32,23,85,31,0.999504128,23.3553053,165248,0.391843339,0
409,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,Open,60,63.8,26,27,25,24,77,26,0.013433925,31.539894,104533,0.846364971,0
410,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,SC,56,57.4,21,22,23,24,71,26,0.780021132,,484248,0.712808319,0
411,Male,Urban,"15,001 - 50,000",Amravati,Amravati,SC,92,72.6,25,33,26,25,81,26,0.180427204,29.2646644,532232,0.621598124,0
412,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,95,94.6,31,30,27,33,93,29,0.597192245,,261461,0.679588615,0
413,Male,Urban,"15,001 - 50,000",Buldhana,Jalgaon (Jamod),Open,88,84.4,85,85,83,87,83,84.33,,66.4565571,22649,66.4565571,1
414,Male,Rural,"15,001 - 50,000",Amravati,Nandgaon-Khandeshwar,OBC,66,73.4,31,22,32,21,81,22,0.721972556,,396818,0.65763508,0
415,Female,Urban,"5,00,001 - 5,50,000",Amravati,Amravati,OBC,87,88,96,94,88,96.5,95,94.33,79.9517542,41.228096,30175,79.9517542,1
416,Female,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,75,75.2,88,84,77,88,76,83.5,30.3004877,,81822,30.3004877,1
417,Female,Rural,"15,001 - 50,000",Amravati,Chandur Railway,OBC,94,89.2,95,94,93,92,85,92,32.7140844,,79873,32.7140844,1
418,Male,Urban,"50,001 - 1,00,000",Amravati,Amravati,OBC,69,64.6,32,28,28,24,76,26,0.055176902,,215198,0.851105667,0
419,Female,Urban,"8,00,001 - 9,00,000",Amravati,Amravati,OBC,46,45.6,74,77,71,72,79,73.67,25.2726609,50.8491407,35648,50.8491407,1
420,Male,Urban,"15,001 - 50,000",Yavatmal,Ner,OBC,64,67.2,88,88,89,88,81,86.33,66.0774325,,47918,66.0774325,1
421,Female,Rural,"15,001 - 50,000",Amravati,Dhamangaon Railway,OBC,90,84.6,28,21,32,25,85,31,0.504355777,77.998822,308569,0.222437188,0
422,Female,Rural,"15,001 - 50,000",Amravati,Teosa,OBC,69,81.4,30,29,24,20,85,23,0.280956231,,446043,0.754161381,0
